stamp,id,x,y,z,intensity,time,ring
1782434556.015004,1,0.215135,0.373876,0.370987,96.000000,2.008555,1
1782434556.015004,1,0.244264,0.442553,0.598500,121.000000,2.008717,1
1782434556.015004,1,0.265515,0.485072,0.683365,173.000000,2.008740,1
1782434556.015004,1,0.259091,0.475815,0.704576,166.000000,2.008763,1
1782434556.015004,1,0.260628,0.481657,0.748523,156.000000,2.008786,1
1782434556.015004,1,0.258731,0.481072,0.785962,147.000000,2.008810,1
1782434556.015004,1,0.258437,0.483653,0.831176,140.000000,2.008833,1
1782434556.015004,1,0.254645,0.479583,0.868639,140.000000,2.008856,1
1782434556.015004,1,0.254916,0.483507,0.923325,136.000000,2.008879,1
1782434556.015004,1,0.251681,0.480721,0.970110,143.000000,2.008902,1
1782434556.015004,1,0.251592,0.484287,1.033902,142.000000,2.008925,1
1782434556.015004,1,0.248012,0.481113,1.089577,135.000000,2.008948,1
1782434556.015004,1,0.247111,0.483502,1.163661,131.000000,2.008971,1
1782434556.015004,1,0.244351,0.482410,1.237597,134.000000,2.008995,1
1782434556.015004,1,0.240106,0.478559,1.313063,147.000000,2.009018,1
1782434556.015004,1,0.237031,0.477435,1.405783,142.000000,2.009041,1
1782434556.015004,1,0.231993,0.472626,1.500132,145.000000,2.009064,1
1782434556.015004,1,0.228578,0.471738,1.621583,207.000000,2.009087,1
1782434556.015004,1,0.206148,0.430421,1.616576,194.000000,2.009110,1
1782434556.015004,1,0.185138,0.391758,1.618880,184.000000,2.009133,1
1782434556.015004,1,0.164454,0.353429,1.620936,184.000000,2.009156,1
1782434556.015004,1,0.143903,0.315003,1.620823,184.000000,2.009180,1
1782434556.015004,1,0.122949,0.275182,1.610679,185.000000,2.009203,1
1782434556.015004,1,0.103096,0.237492,1.609140,189.000000,2.009226,1
1782434556.015004,1,0.083946,0.201150,1.615366,194.000000,2.009249,1
1782434556.015004,1,0.064852,0.164612,1.620516,198.000000,2.009272,1
1782434556.015004,1,0.045576,0.127076,1.614622,203.000000,2.009295,1
1782434556.015004,1,0.026754,0.090453,1.617590,200.000000,2.009318,1
1782434556.015004,1,0.008028,0.053709,1.619479,194.000000,2.009341,1
1782434556.015004,1,-0.010496,0.016757,1.611290,199.000000,2.009365,1
1782434556.015004,1,-0.028886,-0.019940,1.611022,201.000000,2.009388,1
1782434556.015004,1,-0.047143,-0.056681,1.609680,206.000000,2.009411,1
1782434556.015004,1,-0.065253,-0.093439,1.607265,210.000000,2.009434,1
1782434556.015004,1,-0.083716,-0.130920,1.612735,207.000000,2.009457,1
1782434556.015004,1,-0.101599,-0.167847,1.608154,208.000000,2.009480,1
1782434556.015004,1,-0.120092,-0.205996,1.612388,206.000000,2.009503,1
1782434556.015004,1,-0.137706,-0.243013,1.605625,211.000000,2.009526,1
1782434556.015004,1,-0.157041,-0.283237,1.616401,214.000000,2.009550,1
1782434556.015004,1,-0.174431,-0.320445,1.607397,217.000000,2.009573,1
1782434556.015004,1,-0.192695,-0.359477,1.606030,220.000000,2.009596,1
1782434556.015004,1,-0.212239,-0.401170,1.613079,222.000000,2.009619,1
1782434556.015004,1,-0.230624,-0.441111,1.610200,222.000000,2.009642,1
1782434556.015004,1,-0.248786,-0.480969,1.605145,223.000000,2.009665,1
1782434556.015004,1,-0.268488,-0.524077,1.608224,238.000000,2.009688,1
1782434556.015004,1,-0.288268,-0.567731,1.609881,235.000000,2.009712,1
1782434556.015004,1,-0.308106,-0.611893,1.610090,232.000000,2.009735,1
1782434556.015004,1,-0.326047,-0.652742,1.599775,227.000000,2.009758,1
1782434556.015004,1,-0.345845,-0.697587,1.597133,220.000000,2.009781,1
1782434556.015004,1,-0.365638,-0.742825,1.592981,221.000000,2.009804,1
